OBJECT,FULLOBJECT,THEME,TITLE,ABSTRACT,METADATA URL
acs_s072c24010,acs_s072c24010,census,2007-11 ACS: SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Industry-Occupation-Class of Worker  ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s072c24010
acs_s074c24030,acs_s074c24030,census,2007-11 ACS: SEX BY INDUSTRY FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Industry-Occupation-Class of Worker  ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s074c24030
acs_s095b25001,acs_s095b25001,census,2007-11 ACS: HOUSING UNITS (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Housing subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s095b25001
acs_s095b25002,acs_s095b25002,census,2007-11 ACS: OCCUPANCY STATUS (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Housing subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s095b25002
acs_s095b25003,acs_s095b25003,census,2007-11 ACS: TENURE (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Housing subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s095b25003
acs_s095b25004,acs_s095b25004,census,2007-11 ACS: VACANCY STATUS (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Housing subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s095b25004
acs_s095b25007,acs_s095b25007,census,2007-11 ACS: TENURE BY AGE OF HOUSEHOLDER (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Housing subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s095b25007
acs_s095b25009,acs_s095b25009,census,2007-11 ACS: TENURE BY HOUSEHOLD SIZE (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Housing subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s095b25009
acs_s096b25019,acs_s096b25019,census,2007-11 ACS: AGGREGATE NUMBER OF ROOMS (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Housing subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s096b25019
acs_s096b25024,acs_s096b25024,census,2007-11 ACS: UNITS IN STRUCTURE (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Housing subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s096b25024
acs_s096b25032,acs_s096b25032,census,2007-11 ACS: TENURE BY UNITS IN STRUCTURE (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Housing subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s096b25032
acs_s096b25033,acs_s096b25033,census,2007-11 ACS: TOTAL POPULATION IN OCCUPIED HOUSING UNITS BY TENURE BY UNITS IN STRUCTURE (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Housing subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s096b25033
acs_s097b25034,acs_s097b25034,census,2007-11 ACS: YEAR STRUCTURE BUILT (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Housing subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s097b25034
acs_s097b25035,acs_s097b25035,census,2007-11 ACS: MEDIAN YEAR STRUCTURE BUILT (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Housing subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s097b25035
acs_s097b25036,acs_s097b25036,census,2007-11 ACS: TENURE BY YEAR STRUCTURE BUILT (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Housing subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s097b25036
acs_s097b25056,acs_s097b25056,census,2007-11 ACS: CONTRACT RENT (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Housing subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s097b25056
acs_s097b25057,acs_s097b25057,census,2007-11 ACS: LOWER CONTRACT RENT QUARTILE (DOLLARS) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Housing subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s097b25057
acs_s097b25058,acs_s097b25058,census,2007-11 ACS: MEDIAN CONTRACT RENT (DOLLARS) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Housing subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s097b25058
acs_s097b25059,acs_s097b25059,census,2007-11 ACS: UPPER CONTRACT RENT QUARTILE (DOLLARS) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Housing subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s097b25059
acs_s098b25065,acs_s098b25065,census,2007-11 ACS: AGGREGATE GROSS RENT (DOLLARS) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Housing subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s098b25065
acs_s098b25070,acs_s098b25070,census,2007-11 ACS: GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Housing subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s098b25070
acs_s098b25071,acs_s098b25071,census,2007-11 ACS: MEDIAN GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS (DOLLARS) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Housing subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s098b25071
acs_s098c25095,acs_s098c25095,census,2007-11 ACS: HOUSEHOLD INCOME BY SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Housing subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s098c25095
acs_s099b25074,acs_s099b25074,census,2007-11 ACS: HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Housing subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s099b25074
acs_s099b25076,acs_s099b25076,census,2007-11 ACS: LOWER VALUE QUARTILE (DOLLARS) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Housing subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s099b25076
acs_s099b25077,acs_s099b25077,census,2007-11 ACS: MEDIAN VALUE (DOLLARS) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Housing subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s099b25077
acs_s099b25078,acs_s099b25078,census,2007-11 ACS: UPPER VALUE QUARTILE (DOLLARS) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Housing subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s099b25078
acs_s099b25083,acs_s099b25083,census,2007-11 ACS: MEDIAN VALUE (DOLLARS) FOR MOBILE HOMES (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Housing subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s099b25083
acs_s099b25091,acs_s099b25091,census,2007-11 ACS: MORTGAGE STATUS BY SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Housing subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s099b25091
acs_s099b25094,acs_s099b25094,census,2007-11 ACS: SELECTED MONTHLY OWNER COSTS (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Housing subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s099b25094
acs_s105b26001,acs_s105b26001,census,2007-11 ACS: GROUP QUARTERS POPULATION (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Group Quarters subject area. Provide ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s105b26001
addr_sitetype_lut,addr_sitetype_lut,admin,Look Up (Decode) table for ADDRESS_POINT sitetype ITEM,Table related to ADDRESS_POINT that decodes SITETYPE item. SITETYPE item values are somewhat cryptic ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=addr_sitetype_lut
address,address_point,admin,Addresses in King County,A comprehensive address file containing a point for every addressable site within King County. It is ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=address
adverse_weather_districts,adverse_weather_districts_area,transportation,Metro Adverse Weather Districts in King County,The Adverse Weather Areas are a means whereby responding agencies within King County can geographica ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=adverse_weather_districts
ag_landuse06,ag_landuse06_area,natres,Agricultural Land Use 2006 for Ag. Production Districts and Vashon,Agricultural Land Uses within the Agricultural Production Districts and on Vashon-Maury Island.  Lan ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=ag_landuse06
agrpddst,agrpddst_area,natres,Agricultural Production District,The Comprehensive Plan designates Agricultural Production Districts where the principal land use sho ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=agrpddst
airdst,airdst_area,district,King County Airport District,Airport District encompassing Vashon-Maury Island ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=airdst
airports,airports_area,transportation,Airports in King County,Airport features for King County. ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=airports
antiicer_route,antiicer_route_line,transportation,Roads Anti-Ice Routes,Routes in unincorporated King County that are part of the King County anti-ice operations as well as ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=antiicer_route
basin_condition,basin_condition_area,enviro,Environmental Condition of Basins,Environmental conditons of Drainage Basins. Used as a tool to regulate land use according the 2005 K ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=basin_condition
benson_line_stations,benson_line_stations_point,transportation,Metro Benson Line Stations in King County,City of Seattle sole streetcar Stations operated by Metro KC Transit in the downtown area. ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=benson_line_stations
bike_facilities,bike_facilities_line,transportation,King County Bike Facilities,Bike Routes identified in unincorporated King County and by participating cities within King County. ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=bike_facilities
bike_lockers,bike_lockers_point,transportation,King County Transit Facilities With Bicycle Lockers,Point locations of transit facilities that have bike locker storage ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=bike_lockers
blkgrp00,blkgrp00_area,census,Census 2000 Block Groups,US Census Bureau Block Groups conflated to Assessor Land Record Geodatabase ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=blkgrp00
blkgrp00_shore,blkgrp00_shore_area,census,Census 2000 Block Groups - Major WTRBDY Features Removed,US Census Bureau Block Groups conflated to Assessor Land Record Geodatabase ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=blkgrp00_shore
blkgrp00_shore_center,blkgrp00_shore_center_point,census,2000 Census Block Group - Centers for water clipped features,US Census Bureau Block Groups conflated to Assessor Land Record Geodatabase ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=blkgrp00_shore_center
blkgrp10,blkgrp10_area,census,2010 Census Block Groups for King County - Conflated to Parcels,The TIGER/Line Files are shapefiles and related database files (.dbf) that are an extract of selecte ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=blkgrp10
blkgrp10_shore,blkgrp10_shore_area,census,2010 Census Block Groups for King County - Conflated to Parcels - Major Waterbodies Erased,The TIGER/Line Files are shapefiles and related database files (.dbf) that are an extract of selecte ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=blkgrp10_shore
blkgrp10_shore_center,blkgrp10_shore_center_point,census,2010 Census Block Groups for King County - Conflated to Parcels - Major Waterbodies Erased - Block Group Centers,The TIGER/Line Files are shapefiles and related database files (.dbf) that are an extract of selecte ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=blkgrp10_shore_center
blocks00,blocks00_area,census,Census 2000 Blocks,Census Bureau Blocks conflated to Assessor Land Record Geodatabase ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=blocks00
blocks10,blocks10_area,census,2010 Census Blocks for King County - Conflated to Parcels,The TIGER/Line Files are shapefiles and related database files (.dbf) that are an extract of selecte ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=blocks10
bridges,bridges_point,transportation,Bridges Maintained by King County,This dataset covers bridge structures in unincorporated King County; contract cites; and King County ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=bridges
bus_bases,bus_bases_point,transportation,Metro Bus Bases in King County,The garage or depot for storage; fueling; and/or maintaince of buses when not in service. Transit op ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=bus_bases
busstop,busstop_point,transportation,Metro Bus Stops in King County,On-street location where transit vehicles stop to pick-up and discharge passengers. It has a sign an ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=busstop
cara,cara_area,enviro,Critical Aquifer Recharge Areas,Critical Aquifer Recharge Areas ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=cara
cemdst,cemdst_area,district,King County Cemetery District,Cemetery District encompassing Vashon-Maury Island ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=cemdst
changeablemessagesign,changeablemessagesign_point,transportation,Changeable Message Sign,King County Roads Division changeable message signs; also known as variable or electronic message si ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=changeablemessagesign
charging_stations,charging_stations_point,transportation,Transit Facilities with Electrical Outlets,Location of Electrical Outlets at KC metro transit facilities ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=charging_stations
chinbuff,chinbuff_area,enviro,Mapped Chinook Distribution in King County,Buffer of Recorded Chinook Distribution in King CountyWRIA 7 Snohomish Drainage - Snohomish County P ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=chinbuff
chnlmigr,chnlmigr_area,hydro,River Channel Migration Areas (selected),Channel migration hazards for four King County rivers: Raging River; Tolt River; Three Forks area of ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=chnlmigr
cip_dnrp,cip_dnrp_point,planning,Capital Improvement Projects (CIP) - DNRP,Locations of active Capital Improvement Projects in King County. ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=cip_dnrp
city,city_area,admin,Incorporated Areas of King County,Current boundaries for King County incorporated places. This is extracted from CITY_ANNEX_AREA. ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=city
city_kc,city_kc_area,admin,Cities and Unincorporated King County,Polygons for Cities and Unincorporated King County. This is an extract from CITY_ANNEX_AREA ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=city_kc
city_lut,city_lut,admin,City Jurisdiction Code  Lookup Table,Lookup table for city jurisdiction codes and jurisdicions names. ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=city_lut
citydst,citydst_area,district,Incorporated Areas of King County,This data layer describes the incorporated areas of King County. ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=citydst
coalmine,coalmine_area,enviro,Coal Mine Hazards,The King County Sensitive Areas Ordinance (SAO) defines coal mine hazard areas as those areas direct ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=coalmine
code_restriction,code_restriction_area,planning,Clearing Restriction Areas,Areas with Restrictions on Clearing of Vegetation. This layer uses parcels to create it. This origin ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=code_restriction
comfort_stations,comfort_stations_point,transportation,Comfort Stations,Comfort Stations ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=comfort_stations
common_interest,common_interest_point,admin,Common Points of Interest for King County,Authoritative Points-of-Interest layer for King County. Contains over 45 different domain classes sh ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=common_interest
community_plan,community_plan_area,planning,Community Plan Area,Each community plan area represents a portion of the county that was covered by a Community Land Use ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=community_plan
community_service_area,community_service_area_area,admin,UnknownTitle1,UnknownAbstract2 ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=community_service_area
complu,complu_area,planning,Comprehensive Plan Land Use,A comprehensive plan is a generalized; coordinated land use policy statement of the governing body o ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=complu
congdst,congdst_area,district,Congressional Districts in King County,This data layer describes the boundaries of the Washington State Congressional districts within King ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=congdst
contour050,contour050_line,topo,50 Foot Index Contours,Contour isolines with interval in feet as defined by numerical suffix to data tile. For example t22r ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=contour050
contour100,contour100_line,topo,100 Foot Index Contours,Contour isolines with interval in feet as defined by numerical suffix to data tile. For example t22r ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=contour100
cut_pbrs_timber,cut_pbrs_timber_area,natres,King County Public Benefit Rating System and Timberland Current Use Taxation Properties,The Public Benefit Rating System (PBRS) and the Timber Land programs provide incentives to encourage ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=cut_pbrs_timber
dart,dart_area,transportation,Metro's Dial-A-Ride Transit (DART) in King County,Contains the service areas for Metro's Dial-A-Ride transit service. ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=dart
delineator,delineator_point,transportation,Traffic Delineator,Delineators refer to the small reflectors generally elevated on small flexible posts placed alongsid ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=delineator
development_condition,development_condition_area,planning,Development Conditions for Unincorporated King County,Development Conditions. Property specific land use regulations that apply conditions to permited dev ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=development_condition
dgm_source,dgm_source_area,survey,Digital Ground Model Data Sources for King County,Digital Ground Model Data Sources for King County and surrounding Kitsap; Island; Pierce; and Snohom ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=dgm_source
dirdst,dirdst_area,district,Seattle School Board Director Districts,This data layer describes the boundaries of the director districts within the Seattle Public School  ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=dirdst
drainage_complaint,drainage_complaint_area,property,Drainage Complaints,Drainage complaints reported to King County Dept of Natural Resources and Parks; Water and Land Reso ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=drainage_complaint
dstcode,dstcode_area,district,District Codes,A superset of all election levy codes ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=dstcode
emitter,emitter_point,transportation,Metro Emitters in King County,A small; battery powered radio transmitter mounted on telephone or power poles that identifies a poi ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=emitter
erode,erode_area,enviro,Erosion Hazards,The Sensitive Ares Ordinance (SAO) defines significant erosion hazard areas as those soils in King C ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=erode
esj_acs_analysis,esj_acs_analysis,census,UnknownTitle1,UnknownAbstract2 ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=esj_acs_analysis
esj_plsf_analysis,esj_plsf_analysis,census,UnknownTitle1,UnknownAbstract2 ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=esj_plsf_analysis
evacuationroutes,evacuationroutes_line,transportation,Evacuation Routes for Green River Valley,Evacuation routes were developed for the potential inundation of the lower; middle; and upper Green  ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=evacuationroutes
facility,facility_point,utility,Wastewater Treatment Facilities of King County,All of the manholes; pump stations; regulator stations; and treatment plants involved in conveyance  ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=facility
facility_nonrevenue,facility_nonrevenue_point,transportation,Metro Facility Non Revenue in King County,King County Metro transit facilities other than Park and Rides; bus bases; transit centers. ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=facility_nonrevenue
facility_revenue,facility_revenue_area,transportation,Metro Facility Revenue in King County,Facility Revenue is a planimetric representation of the bay layout at transit centers ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=facility_revenue
farezone,farezone_area,transportation,Metro Transit Fare Zones in King County,Transit fare zones for King County Metro; Community Transit; Pierce County Transit and Sound Transit ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=farezone
farmers_markets,farmers_markets_point,natres,Farmers Markets in King County,King County Farmer Markets ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=farmers_markets
farmland,farmland_area,natres,Farmland Preservation Program Properties,Properties within the Farmland Preservation Program for which the development rights have been sold  ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=farmland
firdst,firdst_area,district,Fire Protection Districts of King County,This data layer describes the fire protection districts in King County ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=firdst
firestn,firestn_point,pubsafe,Fire Station Locations in King County,Point location of fire stations in King County ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=firestn
flasher,flasher_point,transportation,Traffic Flasher,Flashers; or flashing signals; used at intersections; such as four-way stops or as warning to motori ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=flasher
fldplain,fldplain_area,hydro,Floodplain,A compilation of best available floodplain boundaries. ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=fldplain
flood_photo,flood_photo_point,hydro,Flood Photos Along Major River Systems,Flood photos taken along major river systems following a flood event. ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=flood_photo
floodway,floodway_area,hydro,Floodway,A compilation of best available floodway boundaries. A floodway is the channel of a stream plus any  ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=floodway
food_facilities,food_facilities_point,admin,Food Facilites - Multiple Classes - For King County,Unique selection; by food facility name; from the King County Dept of Health Restaurant Inspection d ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=food_facilities
forpddst,forpddst_area,natres,Forest Production Districts,The Comprehensive Plan designates Forest Production Districts where the primary use should be commer ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=forpddst
freeway_speeds_actual,freeway_speeds_actual_point,transportation,Speeds (Actual) Collected from KC Transit Access Vans on Freeways and Major Highways,Analysis of actual weekday vehicle speeds along the major highway and freeway corridors within the K ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=freeway_speeds_actual
gwma,gwma_area,planning,Groundwater Management Areas,King County Groundwater Management Areas. ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=gwma
gwsource,gwsource_point,hydro,Groundwater Sources,Locations of groundwater sources organized into 3 categories (as defined by the attribute SRC_TYPE)  ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=gwsource
heritage_corridors,heritage_corridors_line,transportation,Heritage Corridors,Roads in Unincorporated King County identified; studied and selected that still possessed the highes ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=heritage_corridors
horse_community,horse_community_area,natres,Equestrian Communities,Equestrian Communities. Parcel boundaries are used to create this layer. ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=horse_community
hospitals,hospitals_point,pubsafe,Acute Service Hospitals in King County,Acute services (Trauma) hospitals in King County. ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=hospitals
hspdst,hspdst_area,district,Hospital Districts,This data layer describes the boundaries of hospital districts in King County. ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=hspdst
hydrogauge,hydrogauge_point,hydro,King County Hydrological Monitoring Gauges,This dataset shows the locations of King County maintained hydrological gauges from 1994 to the pres ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=hydrogauge
idxp7500,idxp7500_area,survey,IDXP7500 - 7500-ft Tiling Index for King County Raster Data,A spatial tiling index designed for storage of file-based image and other raster (i.e.; LiDAR elevat ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=idxp7500
idxptrmbr,idxptrmbr_area,survey,IDXPTRMBR - Township Tiling Index for King County Raster Data,A spatial tiling index designed for storage of file-based image and other raster (i.e.; LiDAR elevat ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=idxptrmbr
intrmpaa,intrmpaa_area,admin,Potential Annexation Areas in King County,Interim Potential Annexation Areas ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=intrmpaa
juddst,juddst_area,district,King County District Courts,This data layer is the 2006 redistricted district courts of King County. ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=juddst
kcaddrgrid,kcaddrgrid_line,transportation,Addressing Grid Reference for King County,Provides the street number corresponding to various State Plane based linear features (section lines ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=kcaddrgrid
kccdst,kccdst_area,district,Metropolitan King County Council,This data layer describes the 2012 King County Council Districts after redistricting. It shows the d ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=kccdst
kcp_loc,kcp_loc_point,pubsafe,Police Station Locations in King County,Police station locations in King County ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=kcp_loc
kcwhpa_10yr,kcwhpa_10yr_area,utility,Wellhead Protection Areas - Ten Year Time of Travel,Wellhead Protection Areas "Time of Travel" for Group A Wells - the area where contamination can flow ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=kcwhpa_10yr
kcwhpa_1yr,kcwhpa_1yr_area,utility,Wellhead Protection Areas - One Year Time of Travel,Wellhead Protection Areas "Time of Travel" for Group A Wells - the area where contamination can flow ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=kcwhpa_1yr
kcwhpa_5yr,kcwhpa_5yr_area,utility,Wellhead Protection Areas - Five Year Time of Travel,Wellhead Protection Areas "Time of Travel" for Group A Wells - the area where contamination can flow ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=kcwhpa_5yr
kcwhpa_6mo,kcwhpa_6mo_area,utility,Wellhead Protection Areas - Six Month Time of Travel,Wellhead Protection Areas "Time of Travel" for Group A Wells - the area where contamination can flow ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=kcwhpa_6mo
kingco,kingco_area,politicl,King County Political Boundary (no waterbodies),King County Political Boundary ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=kingco
kingsh,kingsh_area,politicl,King County with Natural Shoreline for Puget Sound and Lake Washington,County boundaries for King County; with Puget Sound and Lake Washington removed; showing coastal sho ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=kingsh
landmark,landmark_point,transportation,King County Landmarks,Key landmarks within King County categorized into several major classes including but not limited to ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=landmark
landmark_alias,landmark_alias,transportation,Landmark_Alias,Alternative names for landmarks in the Landmark layer ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=landmark_alias
